LGA_NAME21,ITEM_STATU,count
SHELLHARBOUR,Potential,6
SHELLHARBOUR,Section 170,8
SHOALHAVEN,Potential,121
SHOALHAVEN,Section 170,56
SINGLETON,Not an Item,4
SINGLETON,Potential,55
SNOWY MONARO REGIONAL,Destroyed,10
SNOWY MONARO REGIONAL,Not an Item,7
SNOWY MONARO REGIONAL,Potential,444
SNOWY MONARO REGIONAL,SHR Listed,40
SNOWY MONARO REGIONAL,Section 170,297
SNOWY VALLEYS,Destroyed,18
SNOWY VALLEYS,Not an Item,1
SNOWY VALLEYS,Potential,428
SNOWY VALLEYS,Section 170,247
SUTHERLAND SHIRE,Destroyed,1
SUTHERLAND SHIRE,Not an Item,6
SUTHERLAND SHIRE,Potential,274
SUTHERLAND SHIRE,SHR Listed,76
SUTHERLAND SHIRE,Section 170,59
SYDNEY,SHR Listed,6
TAMWORTH REGIONAL,Potential,41
TAMWORTH REGIONAL,Section 170,2
TEMORA,Potential,2
TENTERFIELD,Not an Item,3
TENTERFIELD,Potential,67
TENTERFIELD,Section 170,39
THE HILLS SHIRE,Potential,1
THE HILLS SHIRE,SHR Listed,93
THE HILLS SHIRE,Section 170,3
TWEED,Potential,9
TWEED,Section 170,6
UPPER HUNTER SHIRE,Not an Item,5
UPPER HUNTER SHIRE,Potential,33
UPPER HUNTER SHIRE,Section 170,2
UPPER LACHLAN SHIRE,Not an Item,5
UPPER LACHLAN SHIRE,Potential,15
WALCHA,Not an Item,3
WALCHA,Potential,76
WALCHA,SHR Listed,6
WALCHA,Section 170,18
WALGETT,Destroyed,9
WALGETT,Not an Item,7
WALGETT,Potential,50
WALGETT,Section 170,13
WARREN,Destroyed,1
WARREN,Potential,34
WARREN,Section 170,1
WARRUMBUNGLE SHIRE,Potential,38
WARRUMBUNGLE SHIRE,Section 170,5
WEDDIN,Potential,22
WEDDIN,Section 170,1
WENTWORTH,Potential,13
WENTWORTH,SHR Listed,3
WILLOUGHBY,Potential,4
WINGECARRIBEE,Potential,41
WINGECARRIBEE,Section 170,9
WOLLONDILLY,Potential,23
WOLLONDILLY,Section 170,62
WOLLONGONG,Not an Item,2
WOLLONGONG,Potential,29
WOLLONGONG,SHR Listed,148
WOLLONGONG,Section 170,120
WOOLLAHRA,Potential,15
WOOLLAHRA,SHR Listed,78
WOOLLAHRA,Section 170,5
YASS VALLEY,Potential,16
YASS VALLEY,Section 170,1
